Name,Type,Features
Hierarchical,Non-Relational,"Uses a tree-like structure to organize data. Each record has a single parent, and the relationships are a hierarchy."
Network,Relational,Multiple relationships between records. The model uses a graph-like structure to connect records and enable complex relationships.
Cloud,Non-Relational,Hosting solution given by a third-party provider. Offers database-as-a-service (DBaaS) to eliminate physical data center setups.
On-Premise,Relational,"All the software, infrastructure, and management are maintained locally. With large-scale enterprises, the storage grows to a local data center over time. "
Centralized,Relational,"Stored and managed in a single physical location. The centralized repository is available to other devices through a network, which enables data sharing across an organization. "
Distributed,Non-Relational,Store information across different physical sites.
Operational,Relational,"An operational database manages and controls the basic operations within a business. It collects data directly from the source in real time, providing a view of daily transactions."
Analytical,Relational,"Analytical databases offer a unified view of all business data. A complete overview is essential for planning, reporting, and making decisions. The database is known as an online analytical processing (OLAP) database. They are essential for business intelligence (BI) and strategic planning."
Graph,Non-Relational,"Graph databases are optimized for managing relationships between data points. It structures data as nodes, edges, and properties"
Key-Value,Non-Relational,"A key-value database is an efficient database that stores data as key-value pairs. Every key is a unique identifier for a corresponding value. "
Document,Non-Relational,"Every document uses a format such as JSON or XML to represent data. It is suitable for modern application development and highly flexible due to this format. "
Time-Series,Non-Relational,"Works with timestamped data. The database is ideal for collecting and processing data over time. Time-series databases are often used in monitoring, analytics, and scientific research."