Name,Platform,Pricing,Tool Description,Usage
Figma,"Web, Windows, macOS",Free,"General purpose, highly functional, extensible and accessible",UI/UX
Framer,"Web, Windows, macOS",Free,"Software design oriented, various pre-made components, ease of use.",UI/UX
Penpot,Web,Free,,UI/UX
Mockup,macOS,Free,,UI/UX
Marvel,Web,Free,,UI/UX
UXPin,Web,Free,,UI/UX
Webflow,"Web, Windows, macOS",Free,,UI/UX
Flowmapp,Web,Free,,UI/UX
VisualSitemaps,Web,Free,,UI/UX
Justinmind,"Windows, macOS",Free,,UI/UX
StarUML,"Windows, macOS",Paid,,Modeling
JetUML,Windows,Free,,Modeling
Modelio,"Linux, Windows",Free,,Modeling
PlantUML,Web,Free,,Modeling
yEd,"Linux, Windows, macOS",Free,,Modeling
draw.io,"Linux, Web, Windows, macOS",Free,,Modeling
Miro,Web,Free,,Modeling
Fluig,Web,Free,,Modeling
Whimsical,Web,Free,,Modeling
Visual Paradigm CE,Web,Free,,Modeling
LucidChart,Web,Free,,Modeling
Wireframe.cc,Web,Subscription,,Modeling
Balsamiq,Web,Subscription,,Modeling
Origami Studio 3,macOS,Free,,UI/UX
Adobe XD,"Windows, macOS",Subscription,,UI/UX
Axure,Web,Free,,UI/UX
Proto.io,Web,Subscription,,UI/UX
Sketch,macOS,Subscription,,UI/UX
Applet,Web,Free,,UI/UX